Date : 2024-02-14 07:02:10
Directory : /Users/elias/Desktop/Portfolio/book-club-laravel-angular
Total : 297 files,  31309 codes, 1754 comments, 1927 blanks, all 34990 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/queue.php                                                                                                                           | PHP        |         51 |         42 |         17 |        110 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/sanctum.php                                                                                                                         | PHP        |         17 |         53 |         14 |         84 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/services.php                                                                                                                        | PHP        |         17 |         11 |          7 |         35 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/session.php                                                                                                                         | PHP        |         23 |        157 |         35 |        215 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/config/view.php                                                                                                                            | PHP        |         10 |         20 |          7 |         37 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/BookFactory.php                                                                                                         | PHP        |         23 |          8 |          5 |         36 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/CustomerFactory.php                                                                                                     | PHP        |         20 |          8 |          5 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/FavouriteFactory.php                                                                                                    | PHP        |         23 |          8 |          5 |         36 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/factories/UserFactory.php                                                                                                         | PHP        |         31 |         14 |          6 |         51 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2014_10_12_000000_create_users_table.php                                                                               | PHP        |         29 |          6 |          4 |         39 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2014_10_12_100000_create_password_reset_tokens_table.php                                                               | PHP        |         19 |          6 |          4 |         29 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2019_08_19_000000_create_failed_jobs_table.php                                                                         | PHP        |         23 |          6 |          4 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php                                                              | PHP        |         24 |          6 |          4 |         34 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2024_01_24_115535_create_books_table.php                                                                               | PHP        |         26 |          6 |          4 |         36 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/migrations/2024_02_08_183152_create_favourites_table.php                                                                          | PHP        |         26 |          6 |          4 |         36 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/BookSeeder.php                                                                                                            | PHP        |         14 |          3 |          4 |         21 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/CustomerSeeder.php                                                                                                        | PHP        |         15 |          3 |          4 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/DatabaseSeeder.php                                                                                                        | PHP        |         14 |          9 |          7 |         30 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/database/seeders/FavouriteSeeder.php                                                                                                       | PHP        |         14 |          3 |          4 |         21 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/package.json                                                                                                                               | JSON       |         13 |          0 |          1 |         14 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/phpunit.xml                                                                                                                                | XML        |         30 |          2 |          1 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/public/index.php                                                                                                                           | PHP        |         14 |         30 |         12 |         56 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/css/app.css                                                                                                                      | CSS        |          0 |          0 |          1 |          1 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/js/app.js                                                                                                                        | JavaScript |          1 |          0 |          1 |          2 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/js/bootstrap.js                                                                                                                  | JavaScript |          3 |         23 |          7 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/resources/views/welcome.blade.php                                                                                                          | PHP        |        118 |          0 |         23 |        141 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/routes/api.php                                                                                                                             | PHP        |         23 |         13 |         10 |         46 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/routes/channels.php                                                                                                                        | PHP        |          5 |         10 |          4 |         19 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/routes/console.php                                                                                                                         | PHP        |          6 |         10 |          4 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/routes/web.php                                                                                                                             | PHP        |          5 |         10 |          4 |         19 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/tests/CreatesApplication.php                                                                                                               | PHP        |         13 |          3 |          6 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/tests/Feature/ExampleTest.php                                                                                                              | PHP        |         11 |          4 |          5 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/tests/TestCase.php                                                                                                                         | PHP        |          7 |          0 |          4 |         11 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/tests/Unit/ExampleTest.php                                                                                                                 | PHP        |         10 |          3 |          4 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/vendor/spatie/ignition/resources/compiled/ignition.css                                                                                     | CSS        |          1 |          2 |          0 |          3 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/vendor/spatie/ignition/resources/compiled/ignition.js                                                                                      | JavaScript |          6 |          0 |          1 |          7 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/book-api/vite.config.js                                                                                                                             | JavaScript |         10 |          0 |          2 |         12 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/README.md                                                                                                                    | Markdown   |         14 |          0 |         14 |         28 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/angular.json                                                                                                                 | JSON       |         96 |          0 |          1 |         97 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/package-lock.json                                                                                                            | JSON       |     13,103 |          0 |          1 |     13,104 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/package.json                                                                                                                 | JSON       |         51 |          0 |          1 |         52 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_data/data.ts                                                                                                        | TypeScript |         72 |          0 |          5 |         77 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_interceptors/error.interceptor.spec.ts                                                                              | TypeScript |         13 |          0 |          4 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_interceptors/error.interceptor.ts                                                                                   | TypeScript |         60 |          0 |          3 |         63 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_interceptors/jwt.interceptor.spec.ts                                                                                | TypeScript |         13 |          0 |          4 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_interceptors/jwt.interceptor.ts                                                                                     | TypeScript |         30 |          0 |          3 |         33 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_models/book.ts                                                                                                      | TypeScript |         25 |          0 |          2 |         27 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_models/cart.ts                                                                                                      | TypeScript |         11 |          0 |          1 |         12 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_models/customer.ts                                                                                                  | TypeScript |         13 |          0 |          1 |         14 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_models/rawapi.ts                                                                                                    | TypeScript |         35 |          0 |          5 |         40 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_models/user.ts                                                                                                      | TypeScript |         18 |          0 |          2 |         20 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_modules/shared.module.ts                                                                                            | TypeScript |         14 |          0 |          2 |         16 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/account-service/account.service.spec.ts                                                                    | TypeScript |         12 |          0 |          5 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/account-service/account.service.ts                                                                         | TypeScript |        104 |          4 |         13 |        121 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/book-param-service/book-param.service.spec.ts                                                              | TypeScript |         12 |          0 |          5 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/book-param-service/book-param.service.ts                                                                   | TypeScript |         98 |          0 |         11 |        109 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/books-service/book-param.type.ts                                                                           | TypeScript |         13 |          0 |          3 |         16 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/books-service/books.service.spec.ts                                                                        | TypeScript |         12 |          0 |          5 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/books-service/books.service.ts                                                                             | TypeScript |        167 |          4 |         23 |        194 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/cart-service/cart.service.spec.ts                                                                          | TypeScript |         12 |          0 |          5 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/cart-service/cart.service.ts                                                                               | TypeScript |         44 |          0 |          7 |         51 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/customers-service/customers.service.spec.ts                                                                | TypeScript |         12 |          0 |          5 |         17 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/_services/customers-service/customers.service.ts                                                                     | TypeScript |         30 |         15 |          7 |         52 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/app-routing.module.ts                                                                                                | TypeScript |         20 |          0 |          3 |         23 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/app.component.scss                                                                                                   | SCSS       |          0 |          0 |          1 |          1 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/app.component.spec.ts                                                                                                | TypeScript |         25 |          0 |          5 |         30 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/app.component.ts                                                                                                     | TypeScript |         42 |          0 |          6 |         48 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/app.module.ts                                                                                                        | TypeScript |         41 |          0 |          2 |         43 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-dashboard/admin-dashboard.container.scss                                            | SCSS       |          0 |          0 |          2 |          2 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-dashboard/admin-dashboard.container.spec.ts                                         | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-dashboard/admin-dashboard.container.ts                                              | TypeScript |         10 |          0 |          2 |         12 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-sidebar/admin-sidebar.component.scss                                                | SCSS       |         81 |          1 |          7 |         89 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-sidebar/admin-sidebar.component.spec.ts                                             | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/admin-dashboard/admin-sidebar/admin-sidebar.component.ts                                                  | TypeScript |         57 |          0 |          5 |         62 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/bottom-sheet/bottom-sheet.component.scss                                                                  | SCSS       |         26 |          0 |          6 |         32 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/bottom-sheet/bottom-sheet.component.spec.ts                                                               | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/bottom-sheet/bottom-sheet.component.ts                                                                    | TypeScript |         47 |          0 |          5 |         52 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/breadcrumbs/breadcrumbs.component.html                                                                    | HTML       |          1 |          0 |          1 |          2 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/breadcrumbs/breadcrumbs.component.scss                                                                    | SCSS       |         19 |          0 |          5 |         24 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/breadcrumbs/breadcrumbs.component.spec.ts                                                                 | TypeScript |         18 |          0 |          6 |         24 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/breadcrumbs/breadcrumbs.component.ts                                                                      | TypeScript |         20 |          0 |          2 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/footer/footer.component.scss                                                                              | SCSS       |         95 |          1 |          7 |        103 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/footer/footer.component.spec.ts                                                                           | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/footer/footer.component.ts                                                                                | TypeScript |         46 |          0 |          2 |         48 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/action-bar/action-bar.component.scss                                                               | SCSS       |         65 |          3 |         12 |         80 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/action-bar/action-bar.component.spec.ts                                                            | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/action-bar/action-bar.component.ts                                                                 | TypeScript |         44 |          0 |          3 |         47 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/cart-item/cart-item.component.scss                                                                 | SCSS       |         27 |          0 |          7 |         34 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/cart-item/cart-item.component.spec.ts                                                              | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/cart-item/cart-item.component.ts                                                                   | TypeScript |         47 |          0 |          7 |         54 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/header/header.component.scss                                                                       | SCSS       |         20 |          0 |          5 |         25 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/header/header.component.spec.ts                                                                    | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/header/header.component.ts                                                                         | TypeScript |         34 |          0 |          2 |         36 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/nav-bar/nav-bar.component.scss                                                                     | SCSS       |         69 |          6 |         14 |         89 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/nav-bar/nav-bar.component.spec.ts                                                                  | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/header/nav-bar/nav-bar.component.ts                                                                       | TypeScript |        110 |          2 |          6 |        118 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/loading-state/loading-state.component.scss                                                                | SCSS       |         22 |          0 |          4 |         26 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/loading-state/loading-state.component.spec.ts                                                             | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/loading-state/loading-state.component.ts                                                                  | TypeScript |         18 |          0 |          1 |         19 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/add-book-modal/add-book-modal.component.scss                                                       | SCSS       |         49 |          1 |          7 |         57 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/add-book-modal/add-book-modal.component.spec.ts                                                    | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/add-book-modal/add-book-modal.component.ts                                                         | TypeScript |        135 |          0 |          9 |        144 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/cart-modal/cart-modal.component.scss                                                               | SCSS       |         35 |          0 |          4 |         39 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/cart-modal/cart-modal.component.spec.ts                                                            | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/cart-modal/cart-modal.component.ts                                                                 | TypeScript |         94 |          0 |         13 |        107 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/post-modal/post-modal.component.scss                                                               | SCSS       |         56 |          0 |         10 |         66 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/post-modal/post-modal.component.spec.ts                                                            | TypeScript |         18 |          0 |          6 |         24 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/modals/post-modal/post-modal.component.ts                                                                 | TypeScript |         43 |          0 |          3 |         46 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/paginator/paginator.component.scss                                                                        | SCSS       |          0 |          0 |          1 |          1 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/paginator/paginator.component.spec.ts                                                                     | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/components/paginator/paginator.component.ts                                                                          | TypeScript |         16 |          0 |          2 |         18 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-container/admin-books-collection.container.scss                       | SCSS       |          4 |          0 |          1 |          5 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-container/admin-books-collection.container.spec.ts                    | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-container/admin-books-collection.container.ts                         | TypeScript |         78 |          3 |          9 |         90 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-overview/admin-books-collection-overview.component.scss               | SCSS       |         63 |          4 |         10 |         77 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-overview/admin-books-collection-overview.component.spec.ts            | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-books/admin-books-collection-overview/admin-books-collection-overview.component.ts                 | TypeScript |        155 |          6 |         21 |        182 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-container/admin-customers-collection.container.scss            | SCSS       |          3 |          0 |          1 |          4 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-container/admin-customers-collection.container.spec.ts         | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-container/admin-customers-collection.container.ts              | TypeScript |         14 |          0 |          2 |         16 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-overview/admin-customers-collection-overview.component.scss    | SCSS       |         62 |          0 |         15 |         77 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-overview/admin-customers-collection-overview.component.spec.ts | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-customers/admin-customer-collection-overview/admin-customers-collection-overview.component.ts      | TypeScript |        171 |          3 |         14 |        188 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-stats/admin-stats.component.scss                                                                   | SCSS       |         53 |          0 |          5 |         58 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-stats/admin-stats.component.spec.ts                                                                | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/admin-stats/admin-stats.component.ts                                                                     | TypeScript |         39 |          0 |          2 |         41 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/adminspace/adminspace.container.scss                                                                     | SCSS       |         51 |          0 |          6 |         57 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/adminspace/adminspace.container.spec.ts                                                                  | TypeScript |         24 |          0 |          4 |         28 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/adminspace/adminspace.container.ts                                                                       | TypeScript |         63 |          0 |          3 |         66 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/adminspace/adminspace.module.ts                                                                          | TypeScript |          7 |          0 |          2 |          9 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/admin/adminspace/adminspace.routes.ts                                                                          | TypeScript |         19 |          0 |          3 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/login/login.component.scss                                                                              | SCSS       |         68 |          0 |         11 |         79 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/login/login.component.spec.ts                                                                           | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/login/login.component.ts                                                                                | TypeScript |         84 |          1 |          6 |         91 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/logout/logout.component.scss                                                                            | SCSS       |          9 |          0 |          1 |         10 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/logout/logout.component.spec.ts                                                                         | TypeScript |         18 |          0 |          6 |         24 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/logout/logout.component.ts                                                                              | TypeScript |         19 |          0 |          3 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/register/register.component.scss                                                                        | SCSS       |        106 |          2 |         22 |        130 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/register/register.component.spec.ts                                                                     | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/portal/register/register.component.ts                                                                          | TypeScript |        251 |          1 |         20 |        272 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-container/books-collection.container.scss                                         | SCSS       |         46 |          0 |         11 |         57 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-container/books-collection.container.spec.ts                                      | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-container/books-collection.container.ts                                           | TypeScript |        130 |          4 |         18 |        152 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-grid-overview/books-collection-grid-overview.component.scss                       | SCSS       |         14 |          0 |          2 |         16 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-grid-overview/books-collection-grid-overview.component.spec.ts                    | TypeScript |         17 |          0 |          5 |         22 |
| /Users/elias/Desktop/Portfolio/book-club-laravel-angular/books-management-php-angular/client/book-management/src/app/pages/users/books/books-collection-grid-overview/books-collection-grid-overview.component.ts                         | TypeScript |         28 |          0 |          3 |         31 |
